Macrotrends Data Download

India Suicide Rate 1960-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, Total, Male, Female
date, Total, Male, Female
1960-12-31,0,0,0
1961-12-31,0,0,0
1962-12-31,0,0,0
1963-12-31,0,0,0
1964-12-31,0,0,0
1965-12-31,0,0,0
1966-12-31,0,0,0
1967-12-31,0,0,0
1968-12-31,0,0,0
1969-12-31,0,0,0
1970-12-31,0,0,0
1971-12-31,0,0,0
1972-12-31,0,0,0
1973-12-31,0,0,0
1974-12-31,0,0,0
1975-12-31,0,0,0
1976-12-31,0,0,0
1977-12-31,0,0,0
1978-12-31,0,0,0
1979-12-31,0,0,0
1980-12-31,0,0,0
1981-12-31,0,0,0
1982-12-31,0,0,0
1983-12-31,0,0,0
1984-12-31,0,0,0
1985-12-31,0,0,0
1986-12-31,0,0,0
1987-12-31,0,0,0
1988-12-31,0,0,0
1989-12-31,0,0,0
1990-12-31,0,0,0
1991-12-31,0,0,0
1992-12-31,0,0,0
1993-12-31,0,0,0
1994-12-31,0,0,0
1995-12-31,0,0,0
1996-12-31,0,0,0
1997-12-31,0,0,0
1998-12-31,0,0,0
1999-12-31,0,0,0
2000-12-31,17,17.5,16.4
2001-12-31,16.6,17.2,15.9
2002-12-31,16.1,17.1,15
2003-12-31,15.3,16.6,14
2004-12-31,15.2,16.6,13.6
2005-12-31,15.5,17.1,13.7
2006-12-31,15.6,17.6,13.5
2007-12-31,15.3,17.4,12.9
2008-12-31,15.1,17.3,12.6
2009-12-31,14.5,16.5,12.4
2010-12-31,14.6,16.3,12.9
2011-12-31,14.7,16.3,12.8
2012-12-31,14.3,16.2,12.2
2013-12-31,13.7,15.5,11.8
2014-12-31,12.8,14.4,11
2015-12-31,12.3,13.7,10.8
2016-12-31,12.1,13.4,10.6
2017-12-31,12,13.4,10.5
2018-12-31,12.6,14,11
2019-12-31,12.7,14.1,11.1
2020-12-31,0,0,0
2021-12-31,0,0,0
2022-12-31,0,0,0
